Report generated on: 09-19-2020 19:43:49
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","electricity installed capacity (million kW)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-7-COK-MK.A","        Cook Islands","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.01","0.01","0.01","0.01","0.01","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.011","0.012","0.01","0.013","0.014","0.014","NA",""
"INTL.2-7-CRI-MK.A","        Costa Rica","0.609","0.643","0.817","0.819","0.819","0.78","0.771","0.866","0.873","0.874","0.893","1.011","1.043","1.042","1.045","1.168","1.271","1.345","1.345","1.354","1.71","1.727","1.796","1.941","1.963","1.993","2.127","2.116","2.383","2.48","2.882","2.9","2.736","2.75","2.899","3.092","3.495","3.558","3.66",""
"INTL.2-7-HRV-MK.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","3.494","3.547","3.593","3.633","3.601","3.579","3.601","3.407","3.41","3.598","3.798","3.808","4.007","3.871","3.884","3.911","3.915","4.024","4.14","4.196","4.242","4.333","4.523","4.848","4.886","5.013","NA",""
"INTL.2-7-CUB-MK.A","        Cuba","2.756","2.975","3","3.111","3.229","3.419","3.532","3.841","3.988","3.988","3.988","3.988","3.988","3.988","3.988","3.988","4.325","4.331","4.337","4.286","4.487","4.412","3.959","3.961","3.948","4.952","5.622","5.979","5.951","6.105","6.413","6.469","6.233","6.548","6.7","6.843","6.998","7.048","NA",""
"INTL.2-7-CYP-MK.A","        Cyprus","0.269","0.333","0.393","0.389","0.389","0.389","0.351","0.351","0.471","0.471","0.471","0.471","0.546","0.666","0.624","0.699","0.699","0.699","0.737","0.737","0.737","0.988","0.988","0.994","0.994","1.125","1.135","1.141","1.127","1.4","1.568","1.744","1.734","1.709","1.734","1.763","1.771","1.797","NA",""
"INTL.2-7-CZE-MK.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","14.249","13.874","13.825","14.861","14.991","14.779","15.103","16.177","16.264","17.061","17.021","17.171","17.019","17.259","17.417","17.446","18.174","19.851","20.046","20.284","20.673","21.534","21.506","21.629","21.907","NA",""
"INTL.2-7-CIV-MK.A","        Côte d’Ivoire","1.028","1.163","1.163","1.163","1.163","1.163","1.163","1.163","1.173","1.173","1.173","1.173","1.173","1.173","1.173","1.173","1.19","1.19","1.192","0.924","0.984","1.024","1.082","1.113","1.154","1.177","1.207","1.218","1.224","1.247","1.276","1.449","1.646","1.757","1.828","1.914","1.914","2.192","NA",""
"INTL.2-7-DNK-MK.A","        Denmark","7.072","7.665","7.894","7.717","8.08","8.52","8.538","8.452","8.244","8.546","8.734","9.112","9.442","9.679","9.995","9.876","9.952","10.414","10.451","10.069","12.316","12.486","12.644","12.917","12.986","13.035","12.976","13","13.002","13.393","13.438","13.587","14.073","13.809","13.625","14.002","14.226","14.327","NA",""
"INTL.2-7-DJI-MK.A","        Djibouti","0.035","0.038","0.038","0.048","0.058","0.058","0.058","0.085","0.085","0.085","0.085","0.085","0.085","0.085","0.085","0.085","0.085","0.085","0.085","0.085","0.11","0.118","0.118","0.118","0.118","0.118","0.118","0.118","0.13","0.13","0.13","0.13","0.1303","0.1303","0.1303","0.1303","0.1303","0.1303","NA",""
"INTL.2-7-DMA-MK.A","        Dominica","0.005","0.005","0.006","0.006","0.006","0.007","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.019","0.019","0.019","0.019","0.019","0.0211","0.0221","0.0211","0.0221","0.0221","0.0231","0.0231","0.0252","0.0232","0.0252","0.0264","0.0264","0.0264","0.0264","0.0274","0.0274","0.0282","0.0282","NA",""
