Report generated on: 09-17-2020 15:41:27
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"INTL.4008-8-CPV-MMTCD.A","        Cabo Verde","0.29932","0.3","0.1","0.1","0.2","0.2","0.05311","0.05748","0.08275","0.09044","0.09635","0.09921","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0.1","0.1","0.3","0.3","0.3","0.360745456","0.3","0.4","0.4","1.003405603","0.844979104","0.840027485","0.909728098","0.905513","0.951232","0.866498"
"INTL.4008-8-KHM-MMTCD.A","        Cambodia","0.04096","0.04094","0.04094","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","1.4","1.5","1.9","2.1","2.1","2.200549672","2.500129807","2.700054086","3.000067981","3.400001259","3.600434375","3.900867492","4.138123875","4.22833208","4.031468264","4.033435031","5.047428395","5.299147779","5.474542496","6.421946113","8.377903176","9.720512205","10.741758068"
"INTL.4008-8-CMR-MMTCD.A","        Cameroon","2.22945","2.3","2.7","2.7","2.7","2.7","3","2.8","2.7","3.2","3.4","3.5","3.6","2.8","3.1","3.1","3","3.1","3.1","3.2","3.3","3.2","3.2","3.4","3.4","3.4","3.839235198","4.315820519","4.139235198","4.839235198","5.81196958","6.336180487","5.897224026","5.024585929","6.98152875","7.280231735","6.920367464","7.074417269"
"INTL.4008-8-CAN-MMTCD.A","        Canada","421.34998112","397.712988561","385.052431123","373.624092794","420.754409938","422.429759804","416.661224941","435.236482229","466.848325075","479.321625549","455.768586695","447.19029212","470.04766499","469.853759629","483.301283376","493.277182425","505.343492136","520.251220492","524.523516058","547.002094213","550.533711533","561.921045708","563.700034621","590.865107169","592.477892223","592.390125542","597.449479418","604.419636452","579.873447808","560.817951311","595.535675761","598.750569856","605.866888806","613.283255546","614.004742084","620.65064337","607.184297291","624.828229547"
"INTL.4008-8-CYM-MMTCD.A","        Cayman Islands","0.0978","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.5","0.469614249","0.5","0.6","0.6","0.640238431","0.591050963","0.581374714","0.59238264","0.637089","0.626893","0.684391"
"INTL.4008-8-CAF-MMTCD.A","        Central African Republic","0.13937","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.354199611","0.3","0.3","0.3","0.39045643","0.401034275","0.404893391","0.408906323","0.415213","0.418203","0.380591"
"INTL.4008-8-TCD-MMTCD.A","        Chad","0.27621","0.3","0.3","0.3","0.1","0.2","0.3","0.2","0.2","0.2","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.297427198","0.3","0.3","0.3","0.327842743","0.316141067","0.334930921","0.333739735","0.957926","0.97189","0.315027"
"INTL.4008-8-CHL-MMTCD.A","        Chile","21.605875827","20.775169572","16.687740173","17.954141369","20.450331994","19.525579871","19.508145935","20.068483139","23.65830657","28.776055895","30.755445152","29.472284582","30.629827626","33.21006727","36.636714489","39.626613848","44.690983706","51.323450897","52.261305388","56.49915135","52.606689016","51.931511165","54.426713787","56.937948128","62.258627316","63.844225726","65.057906071","70.423303866","72.423003232","68.470984467","72.264600115","76.963291677","78.084792941","82.064890756","77.136627059","80.60131833","85.327743146","87.259210646"
"INTL.4008-8-CHN-MMTCD.A","        China","1664.569001242","1648.030815382","1710.955585239","1810.848454635","1963.509574578","2059.549125934","2132.603889638","2254.601189919","2401.88518111","2397.017623213","2666.577916739","2441.592650567","2522.473762421","2716.804563555","2902.149499667","3130.023976455","3222.867325554","3122.09259099","3115.70318377","3269.736849903","3523.15229409","3694.868005381","3960.514426268","4625.453088715","5375.481015106","6105.598123867","6739.961197019","7043.430704459","7496.677218307","8188.765191226","8779.18976365","9832.278194475","10362.203902872","10801.773420247","10701.496086103","10508.330407099","10501.798342084","10486.98118719"
"INTL.4008-8-COL-MMTCD.A","        Colombia","36.864881604","38.084845394","37.890401955","38.876190395","41.715973293","42.834779401","43.220307406","43.733721132","45.427347575","47.42026685","46.240357509","46.49343747","51.172044462","53.259438432","53.971008787","55.863430791","56.625837444","60.492570522","62.574134052","56.967445658","57.32155846","56.976888954","55.348387192","55.375395061","54.147132284","54.38406203","56.787796805","49.708016065","55.626050003","56.663912712","56.519104564","63.101095953","67.609934396","70.652299235","81.037318846","81.534901479","86.652192746","75.922142952"
"INTL.4008-8-COM-MMTCD.A","        Comoros","0.04142","0.04134","0.04134","0.04134","0.04204","0.03554","0.03775","0.05033","0.05347","0.05349","0.07","0.06686","0.06749","0.0675","0.07069","0.08324","0.08346","0.08346","0.08661","0.08661","0.09636","0.09954","0.1","0.1","0.1","0.1","0.1","0.12101908","0.1","0.2","0.1","0.15132232","0.154672246","0.191959712","0.170729892","0.185697","0.218082","0.276716"
"INTL.4008-8-COG-MMTCD.A","        Congo-Brazzaville","0.720720132","0.833330198","0.733330198","0.638885231","0.638885231","0.91110066","0.822220132","1.01110066","0.8","0.9","1","0.9","0.9","0.8","0.8","0.7","0.7","0.7","0.8","0.6","0.6","0.8","0.7","0.9","1","1.335411188","1.553116783","1.955736453","2.125851164","2.739732749","4.324436711","4.436032444","4.372138398","5.72550493","5.473082996","5.372823856","5.161164532","5.0973311"
"INTL.4008-8-COD-MMTCD.A","        Congo-Kinshasa","3.336347568","3.531812552","3.593683177","3.572580699","3.347935228","3.282425434","3.783978727","3.394459823","4.103300561","3.914568493","3.620202459","3.368968918","3.801502899","3.934036902","2.92674328","3.022488673","3.218234066","3.113898404","2.909562743","2.506969471","2.102593294","1.408902338","1.218972343","1.222622403","1.724331147","1.743027727","1.740873476","1.798495801","1.701820607","1.732370261","2.44236683","2.812383211","2.717557161","4.006668573","5.433051171","3.188432588","2.389417296","3.109240288"
"INTL.4008-8-COK-MMTCD.A","        Cook Islands","0.02812","0.05604","0.05513","0.05551","0.05542","0.05539","0.05374","0.05373","0.05373","0.04739","0.04738","0.03862","0.04785","0.04783","0.0478","0.04763","0.04775","0.04775","0.04774","0.04774","0.05729","0.05729","0.05729","0.05728","0.06365","0.07001","0.07469","0.070105621","0.09059","0.07309578","0.073201723","0.087767561","0.092976166","0.092273294","0.097172248","0.089786013","0.093489","0.058149"
