"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=00000000000000000000000000000000000000000000000000000000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=5-A&vs=INTL.57-3-AFG-TBPD.A&cy=2015&vo=0&v=H&end=2016"
"Wed Sep 19 2018 19:06:46 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Petroleum (annual)","1000 bbl/d"
"","Imports",""
"","Total Petroleum and Other Liquids",""
"","Crude Oil, NGPL, and Other Liquids",""
"","Crude Oil including Lease Condensate",""
"","Cote dIvoire (IvoryCoast)","1000 bbl/d",37.189,30.378,26.643,15.619,15.279,18.694,25.046,21.331,39.366,47.515,40.864,46.217,49.692,49.852,48.314,47.874,54.206,55.424,59.658,56.642,58.719,54.206,49.692,53.347,71.861,76.355,70.024,72.021,62.694,59.558,56.932,46.197,68.166,70.823,65.45,61.576,50.024
"","Croatia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,55.396,74.444,77.209,85.564,73.671,75.196,76.416,91.032,79.567,79.465,79.181,76.558,85.34,81.295,77.229,85.34,70.602,82.291,71.883,57.693,47.264,50.049,37.629,47.325,50.268
"","Cuba","1000 bbl/d",106.469,112.301,110.392,121.242,127.851,142.183,130.166,139.497,150.205,153.987,111.47,78.107,24.934,28.804,24.492,21.188,28.91,19.332,15.886,14.155,29.122,30.306,26.136,40.555,34.759,38.912,36.261,38.099,36.117,82.887,99.914,98.005,98.27,99.006,101.627,103.168,105.396
"","Cyprus","1000 bbl/d",11.58,11.56,9.76,9.5,11.88,9.32,11.18,12.32,14.14,13.6,12.48,15.26,14.98,15.78,18.32,15.94,16.08,20.78,21.5,23.72,23.1,23.08,21.56,19.38,4.86,15.205,6.92,6.482,10.739,8.496,4.259,0.021,5.447,0.007,0.015,0.001,0.004
"","Czech Republic","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,--,123.049,139.727,142.372,152.273,142.17,140.373,121.979,114.759,120.585,124.139,129.49,129.962,156.204,156.83,145.118,163.288,145.118,156.022,139.828,142.446,132.297,148.834,144.008,107.227
"","Denmark","1000 bbl/d",115.343,101.322,83.311,109.5,107.006,93.973,86.905,85.593,90.897,87.39,83.029,103.22,105.617,101.989,106.249,108.289,110.631,87.37,95.063,91.469,74.626,61.423,65.845,70.51,75.21,54.922,54.679,41.03,47.603,70.893,54.76,60.979,74.848,94.296,69.823,84.099,77.224
"","Djibouti","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Dominica","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Dominican Republic","1000 bbl/d",30.05,31.852,27.209,34.144,35.554,34.202,36.083,37.924,36.063,37.768,31.225,37.474,37.689,41.842,44.193,44.487,41.215,44.643,43.566,41.372,40.882,37.689,39.511,41.509,42.038,41.627,42.175,36.965,34.372,25.532,27.099,26.383,25.513,26.499,26.538,16.422,18.204
"","Ecuador","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
