"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000002&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=47-A&vs=INTL.47-33-AFG-MBTUPP.A&cy=2015&vo=0&v=T&end=2015"
"Sat Aug 25 2018 02:08:32 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"","El Salvador","MMBTU/Person",9.86,8.85,8.79,8.94,9.29,9.08,9.74,9.13,9.91,9.88,10.17,10.02,11.22,11.38,12.42,15.07,15.19,15.21,17.13,17.9,17.17,17.85,17.55,19.05,18.48,19.41,20.17,20.28,20.57,19.26,20.15,20.43,20.57,19.95,20.28,20.1
"","Equatorial Guinea","MMBTU/Person",3.32,3.06,3.44,3.22,3.02,2.84,2.74,2.64,2.55,4.89,4.73,4.57,4.41,4.27,4.13,4,3.84,3.7,4.86,4.68,6.54,4.7,73.04,71.52,7.87,66.33,63.1,71.34,76.19,69.77,72.34,70.56,67.52,60.65,55.36,47.91
"","Eritrea","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.52,4.85,5.08,4.99,5.2,4.2,2.66,3.14,2.76,2.95,2.6,2.52,2.47,2.42,1.43,1.63,2.29,1.57,1.76,1.72,1.61,1.61
"","Estonia","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,77.88,62.91,62.41,55.43,61.47,67.12,83.39,62.88,59.85,68.8,71.74,69.61,73.16,63.94,70.53,69.63,70.54,63.59,60.88,58.73,73.11,67.72,65.29,67.92
"","Ethiopia","MMBTU/Person",0.85,0.83,0.91,1,0.96,1.12,1.05,1.15,1.08,1.12,1.11,0.93,1.19,1.1,0.79,0.83,0.67,0.65,0.83,0.95,0.97,1.01,1.05,1.11,1.14,1.19,1.31,1.38,1.59,1.54,1.57,1.84,2.01,2.18,2.34,2.39
"","Falkland Islands (Islas Malvinas)","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Faroe Islands","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Fiji","MMBTU/Person",24.36,23.68,23.31,18.97,20.78,20.24,25.15,20.78,20.45,23.42,25.68,22.48,22.27,23.56,23.55,24.69,25.81,25.53,23.82,26.45,29.42,32.43,37.03,44.17,48.65,46.96,48.93,48.17,41.52,27.79,26.86,27.1,27.57,41.03,39.45,39.45
"","Finland","MMBTU/Person",195.83,182.66,180.77,180.17,187.83,189.58,195.57,210.63,210.56,211.6,219.74,222.22,222.81,223.94,231.91,220.93,223.87,227.89,236.66,233.82,236.37,238.98,239.95,250.48,254.54,238.5,250.54,250.6,243.63,225.8,239.47,227.24,225.17,218.3,210.67,212.94
"","Former Czechoslovakia","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
