Report generated on: 09-18-2020 10:45:13
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-4-ATG-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","    Reserves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.3-6-ATG-TCF.A","        Gross natural gas (tcf)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","        Gross natural gas (bcf)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-1-ARG-BCF.A","            Dry natural gas (bcf)","280","346","399","445","494","500","547","527","632","720","630.02","703.83","709.48","759.983","786.46","883.23","938.31955","966.9247","1044.97085","1220.83955","1321.13415","1311.5991","1275.22465","1449.3276","1584.9372","1611.42345","1628.0215","1583.17145","1555.9789","1460.69903","1416.1315","1369.16255","1329.2566","1255.8014","1253.6825","1285.466","1386.6779302","1444.8765558","1523.5257590008518","1605.200303583392",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-ARG-BCF.A","            Dry natural gas (bcf)","359","362","456","449","572","578","625","605","713","801","716.54","780.81","787.17","833.085","856.39","953.15","1010.36215","1007.8901","1077.46065","1142.7934","1172.81115","1102.5343","1068.98505","1221.1927","1338.79165","1428.1386","1474.7544","1551.0348","1568.33915","1523.4891","1528.78635","1629.08095","1640.0286","1648.256995","1662.55957","1659.45185","1710.2697033","1732.2354467","1770.2636237871175","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-3-ARG-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","86.52","76.99","77.69","73.102","69.92","69.92","72.0426","64.62645","76.2804","42.378","0","0","0","0","28.252","61.4481","63.567","59.3292","45.9095","93.9379","127.48715","267.33455","314.65665","395.528","411.34912","376.81105","347.499849","412.09036328836413","347.13831768490746","242.44716413565484",""
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-4-ARG-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","23.66105","43.7906","120.42415","148.323","209.0648","206.2396","228.1349","274.39755","244.73295","216.8341","91.46585","33.54925","31.0772","14.8323","7.063","3.5315","3.072405","2.47205","2.8252","2.7545706","2.7192559","9.5248570241167","24.4111134035994",""
"","    Reserves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.3-6-ARG-TCF.A","        Gross natural gas (tcf)","15.2","22","23.4","25.2","24.42","24.628","23.588","23","23.6","26.7","27.299","27","20.449","22.7","26.5","18.246","18.583","21.87","24.308","24.148","24.247","26.42","27.46","26.96","23.43","21.63","18.866","16.09","15.75","15.6","14.07","13.379","13.379","11.742","13.377","11.142","11.73","11.174","11.889","12.553","13.121"
"","Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","        Gross natural gas (bcf)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-1-ARM-BCF.A","            Dry natural gas (bcf)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-ARM-BCF.A","            Dry natural gas (bcf)","--","--","--","--","--","--","--","--","--","--","--","--","65.6859","49.44","56.5","56.5","63.57","45.9095","49.441","45.55635","49.79415","49.441","38.49335","46.6158","46.96895","60.0355","60.0355","72.53701","68.15795","54.73825","64.2733","73.10205","86.52175","85.10915","88.2875","72.39575","78.2573752","83.1308038","83.9532435999999","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-3-ARM-BCF.A","            Dry natural gas (bcf)","--","--","--","--","--","--","--","--","--","--","--","--","65.6859","49.44","56.5","56.5","63.57","45.9095","49.441","45.55635","49.79415","49.441","38.49335","46.6158","46.96895","60.0355","60.0355","72.53701","68.15795","54.73825","64.2733","73.10205","86.52175","85.10915","88.2875","72.39575","78.2573752","83.1308038","83.1308038","",""
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-4-ARM-BCF.A","            Dry natural gas (bcf)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","    Reserves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.3-6-ARM-TCF.A","        Gross natural gas (tcf)","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","        Gross natural gas (bcf)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-1-ABW-BCF.A","            Dry natural gas (bcf)","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-ABW-BCF.A","            Dry natural gas (bcf)","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
