Report generated on: 09-17-2020 15:54:42
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.53-1-KHM-TBPD.A","        Cambodia","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-CMR-TBPD.A","        Cameroon","","","","","","","","58","87","109","114","135","185","177","174","163","170","161","153","140","126.8917808219178","108.34520547945205","111.4","108.41639344262295","124.5","121.5","100.5","85.05965451679782","76.89132534020274","69.90075614658082","67.21815349585754","66.34701175859563","82.70906849315068","86.80773972602739","83.15639726027398","81.78013661202186","77.42010958904109","65.54","62.22727397260274","63.452","63.07016438356165","75.441","98.469","92.469","76.18680821917808","76.18132876712329","69.469",""
"INTL.53-1-CAN-TBPD.A","        Canada","","","","","","","","1816","1663","1639","1692","1810","1848","1863","1960","2057","2031","2040","2041","2126","2249.837816438356","2341.290410958904","2452.794520547945","2501.5765027322404","2627.4712328767123","2700.0493150684933","2632.5575342465754","2753.144554644809","2816.3618479452057","2953.699680821918","3113.6452102739727","3139.357788251366","3096.28461369863","3292.0780767123288","3448.5232328767124","3348.2466967213113","3318.829117808219","3441.730273972603","3596.913671232877","3855.923535519126","4073.0712876712328","4394.265369863014","4511.270561643835","4596.724819672131","4964.133520547945","5382.336260273973","5502.593794520548",""
"INTL.53-1-CYM-TBPD.A","        Cayman Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-CAF-TBPD.A","        Central African Republic","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-TCD-TBPD.A","        Chad","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.06849315068493","170.58743169398906","176.65753424657535","157.91780821917808","144.2027397260274","127.1639344262295","119.47123287671234","122.52054794520548","114.96438356164384","104.48360655737704","100","121","123","114","128","132","128",""
"INTL.53-1-CHL-TBPD.A","        Chile","","","","","","","","46","52","54","50","50","48","44","43","38","36","35","32","29","29.658835616438356","29.110958904109587","26.778082191780822","25.7","18.866849315068492","18.404109589041095","18.03095890410959","16.36188950451913","17.1718578846137","17.14158417081096","16.93328619369315","15.759851055349724","14.928575342465754","12.891838356164383","10.87226301369863","12.791079234972678","13.501876712328768","18.57604109589041","19.23376712328767","18.436371584699454","17.15935616438356","15.616465753424658","14.21527397260274","12.858497267759564","13.457835616438356","16.214","18.54276712328767",""
"INTL.53-1-CHN-TBPD.A","        China","","","","","","","","2114","2012","2045","2120","2296","2505","2588","2680","2722","2749","2768","2836","2852","2902.8012575342464","2957.2876712328766","3060.0493150684933","3211.3387978142077","3284.3424657534247","3302.178082191781","3316.9945205479453","3388.5273186951963","3444.6348642788507","3549.8615359097425","3602.9059855313385","3722.7524981073393","3871.015917808219","3980.2150684931507","4079.0112328767123","4166.931967213115","4218.448630136986","4575.155273972603","4660.013616438356","4773.203475409836","4911.730712328767","5045.262794520548","5180.376150684931","4900.07087431694","4782.398219178082","4774.992739726027","4894.068493150685",""
"INTL.53-1-COL-TBPD.A","        Colombia","","","","","","","","134","133","149","158","174","182","315","396","387","417","454","430","445","467.3002931506849","462.3342465753425","597.1986301369863","642.0644808743169","665.258904109589","745.9383561643835","830.4246575342465","704.115997854142","636.8241534652492","588.2760879595726","554.6762954722631","541.9564407713005","540.6865643835616","548.3515534246575","546.108495890411","603.6740109289617","690.2765561643836","805.7534876712328","938.4120684931507","968.4676502732241","1028.2005068493152","1013.9070465753425","1033.9540410958905","909.0368196721312","884.5163424657534","893.5985342465754","915.8040136986301",""
"INTL.53-1-COM-TBPD.A","        Comoros","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
