International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=3i00000000000000000000000000000000000180000000000000g&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=1-A&vs=INTL.7-1-AFG-TST.A&cy=2015&vo=0&v=H&end=2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 19 2018 19:12:02 GMT-0700 (Pacific Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Estonia,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ethiopia,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.84158,39.68316,23.14851,0,0,0,0,0
,Falkland Islands (Islas Malvinas),1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Faroe Islands,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fiji,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Finland,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Former Czechoslovakia,1000 ST,137244.3781,134745.4383,137146.2724,141555.5179,144635.927,141544.4947,141079.3194,140836.8109,138308.1086,131862.8941,116977.1372,110566.1022,99276.24322,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Former Serbia and Montenegro,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,42345.23865,40632.24891,37202.9625,44748.27445,44673.31737,47375.07918,48585.41556,36486.461,40889.08714,40057.9454,42326.49938,44399.94449,45367.77267,40120.77707,--,--,--,--,--,--,--,--,--,--,--
,Former U.S.S.R.,1000 ST,789714.5973,772800.7318,785677.9331,778853.5234,785338.4212,800718.9716,828062.9072,837580.2634,851309.5514,816066.4526,881835.8599,701655.352,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Former Yugoslavia,1000 ST,45526.46225,57235.29067,60256.63793,65468.36603,71729.60479,77011.88082,77001.96002,78771.16975,79999.14461,82225.81355,83608.112,78035.92808,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,France,1000 ST,25077.5525,25617.6844,24046.89265,23410.85978,22822.22624,20827.04514,20375.09804,18416.29317,15996.72272,15943.81184,14131.6142,13330.23483,12187.13936,11296.47288,9963.78009,9275.93865,8939.7341,7505.62879,6171.83369,5612.96252,3816.19722,2530.90376,1797.86761,1916.91709,176.3696,0,0,0,0,0,0,0,0,0,0,0,0
,French Guiana,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,French Polynesia,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gabon,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Gambia, The",1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Georgia,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,155.42571,165.3465,202.82504,37.47854,17.63696,5.51155,16.53465,17.63696,7.71617,1.10231,6.61386,8.81848,8.81848,5.51155,9.92079,15.43234,12.12541,167.55112,115.74255,154.3234,279.98674,445.553702,329.921383,337.196629,326.834915
,Germany,1000 ST,--,--,--,--,--,--,--,--,--,--,--,388368.0638,346086.7592,315234.2046,291781.457,277356.6283,271419.5867,251736.7393,232999.6739,226116.8503,226047.4048,227112.2362,232573.08,229100.8035,232672.2879,226993.1868,220553.4917,225526.0121,214350.7934,203737.7527,202286.0104,208845.8572,217144.0469,210492.7084,205597.3497,203612.0893,193593.1938
,"Germany, East",1000 ST,285311.1377,294555.8879,304332.3522,305803.5295,325806.2715,343290.8329,342195.8604,339449.9315,341148.3172,331117.1957,287447.401,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,"Germany, West",1000 ST,248447.2059,250140.6778,247781.6575,237768.68,235399.5911,233091.6338,224274.6348,212842.6524,209291.2836,208394.1038,190978.2875,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Ghana,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gibraltar,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Greece,1000 ST,25571.38738,30109.59765,30202.19169,33724.07214,35827.27962,39559.70128,41993.60176,49176.25372,53266.92613,57172.41046,57205.47976,58086.22545,60683.26781,60425.32727,62470.11232,63561.39922,65897.19411,64864.32964,67113.04204,68399.43781,70423.27897,73131.65464,77677.58108,75286.67069,77206.89471,76498.10938,71415.35797,73091.97148,72443.8132,71532.20283,62302.5612,64668.11846,69397.02836,59440.96444,56046.95195,50977.42826,35977.19378
,Greenland,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Grenada,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guadeloupe,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guam,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guatemala,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guinea,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guinea-Bissau,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guyana,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Haiti,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hawaiian Trade Zone,1000 ST,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-
