"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&vs=INTL.44-2-AFG-QBTU.A&cy=2015&vo=0&v=T&end=2015"
"Sat Aug 25 2018 16:21:01 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"","Primary Energy","Quad Btu"
"","Consumption",""
"","Cameroon","Quad Btu",0.0470238044415,0.0517108746898,0.0602007213896,0.0600715964546,0.06098664,0.063975865,0.069994462,0.065974119,0.066696436,0.077144064,0.078138818,0.078571912,0.079137408,0.069071434,0.074450876,0.0761002,0.07635526,0.080261993,0.080457745,0.077756026,0.081765008,0.081535187,0.07804495,0.083366625,0.086872096,0.085336266,0.098328724,0.09913224,0.107779918,0.10823162,0.12548136505,0.12543264475,0.13004900696,0.14258541253,0.149191115108,0.163882512264
"","Canada","Quad Btu",9.87949865826,9.56057372985,9.08002945162,9.07765565696,9.7458519772,10.1091761411,10.2176488278,10.5511353504,11.0117399906,11.1534277678,10.9552433419,11.086235618,11.4166685397,11.6610842094,11.9899048417,12.1598801872,12.5013410361,12.595583611,12.2875746194,12.9118926873,12.9961787775,12.8008143909,12.9828771109,13.3510616433,13.6448607002,13.8456075142,13.9702156103,14.0388878401,13.7255151409,13.3904211904,13.8825960294,14.3894321215,14.3775034965,14.4386533073,14.5468153021,14.3613981191
"","Cape Verde","Quad Btu",0.005,0.005,0.002,0.002,0.002,0.002,0.000801186915288,0.000887331783781,0.001,0.001,0.001,0.002,0.002,0.002020618,0.00205158,0.002061872,0.00207238,0.002071491,0.002081576,0.002081808,0.003081608,0.002061998,0.002061038,0.002050625,0.004060096,0.004059994,0.004069433,0.005069188,0.005059124,0.00506832,0.005019512,0.005155456,0.00557096,0.0119541,0.01242698697,0.0139473850357
"","Cayman Islands","Quad Btu",0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.007,0.008,0.01,0.008,0.008,0.008,0.008,0.008,0.00794551596,0.00822524987684
"","Central African Republic","Quad Btu",0.00268560821714,0.0036794451703,0.00371087231484,0.0036732811648,0.00372036,0.00362682,0.003793896,0.003760587,0.003763976,0.003771968,0.003790552,0.0047827,0.004796334,0.004793793,0.004814964,0.00482496,0.00483754,0.004847679,0.004825957,0.004828306,0.005846683,0.005847306,0.005834186,0.005840375,0.006241984,0.005329867,0.006378741,0.006344224,0.006340144,0.0063176,0.006307304,0.006418536,0.006417884,0.007469314,0.0071622353,0.00757181466317
"","Chad","Quad Btu",0.004,0.004,0.004,0.004,0.002,0.002,0.004,0.003,0.002,0.002,0.005,0.005,0.005,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.00448540918,0.00457737643546
"","Chile","Quad Btu",0.434867957693,0.416970940906,0.356404948263,0.390484310644,0.402711685445,0.401442552542,0.407949225857,0.422240035912,0.466777721199,0.523462218656,0.592975825541,0.589891714797,0.647091787241,0.688401925494,0.740614248205,0.806120800364,0.869205371164,0.98301417829,0.971045196183,1.01295947338,1.01979107193,1.04628525806,1.07537361387,1.13583923232,1.21647715724,1.28020445455,1.31311791487,1.3039585291,1.33523722495,1.30479766773,1.32516231899,1.40902376683,1.40404177706,1.36360867203,1.3265435195,1.33645981319
"","China","Quad Btu",17.9426247284,17.7804199595,18.3905041554,19.5215051186,20.9796152508,22.0134037147,22.8069292186,24.1273754867,25.7861625328,25.8120464291,28.2922375844,26.3880813841,27.4672112887,29.5924831942,31.8784677501,34.4382953254,35.7516331819,34.8490238433,35.3227052668,36.9994679667,40.6209451313,43.2684959827,46.9500543553,54.7572759395,63.8234070423,71.2731214306,78.8007785556,84.8322696043,88.2669383456,94.7716513953,103.520327511,112.86701481,118.359751714,118.685313083,119.596412226,119.614818406
"","Colombia","Quad Btu",0.691389040849,0.706706717782,0.751815836429,0.754242238305,0.834968449954,0.857247467218,0.898966905594,0.850086081371,0.91067083731,0.964212156935,0.950120191919,0.972438319589,0.971397280887,1.06739130621,1.10168364878,1.12012558483,1.19009628935,1.22645436519,1.23319437317,1.1813188612,1.20574983276,1.20921422117,1.19828223453,1.22297635106,1.24118247468,1.27238032314,1.32309790129,1.34437094476,1.34764061936,1.34913048551,1.38539953399,1.52041238651,1.57025775235,1.54883322251,1.6653194061,1.58435790966
"","Comoros","Quad Btu",0.00063377600658,0.00063190600524,0.00063190800926,0.0006320400364,0.00064188,0.000547894,0.000548973415397,0.000871548335178,0.00091248849,0.000915147888603,0.001020804,0.001020872,0.001020684,0.001020618,0.001020632,0.001020624,0.00102068,0.001020426,0.001020394,0.001020452,0.001020402,0.001020666,0.001030519,0.0010405,0.00105008,0.002049995,0.002049595,0.00204942,0.00204927,0.0020488,0.00204878,0.00204858,0.002028548,0.003019082,0.00240477811,0.00271279257313
