"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=5-A&vs=INTL.5-2-AFG-TBPD.A&cy=2015&vo=0&v=H&end=2017"
"Wed Sep 19 2018 19:04:57 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Petroleum (annual)","1000 bbl/d"
"","Consumption",""
"","Costa Rica","1000 bbl/d",16,16,15,16,14,15,13.5,15.8,18,19.7,18.8,20,25.18448,27.4,28.3,30.9,29.7,31.3,35.34235,38.8,35.6,38.1,40,42.3847123288,41.9211202186,40.0423561644,45.2211780822,48.2211780822,49.3423561644,47.3423561644,48.5,49.4635342466,49.8,51.4,52.5460821918,52,-,-
"","Cote dIvoire (IvoryCoast)","1000 bbl/d",28,30,28,30,29,30,31.5,35.2,36.6,36.6,30.3,24.9,24.9,28.5,29.1,28.6,30,27.9,26.9,30,32.8,21.7,23.1,22.9,26.4,28.2,27.9,24.6,28.2,26.8,26.7,26.3,26,37.1,42.0311068493,45,-,-
"","Croatia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,64.9,63.2,78.5,88.7,77.2,80.6,89.84235,90.6211780822,85.6422404372,85.9211780822,89.1211780822,91.2211780822,94.7211202186,95.7211780822,103.521178082,98.5211780822,94.4211780822,90.2211780822,79.9211780822,78.8211780822,73.5211780822,69.0211780822,68.4162367123,69,-,-
"","Cuba","1000 bbl/d",203,207,224,206,213,217,222.5,218.8,220.6,224.9,218.8,204.4,180.9,179.7,182.1,186.6,192,199.6,193.6,162.6,161,203.1,201.4,205.4,229.1,197.4,156.4,161.9,141.8,169,164,171,170.5,166.9,175.413623014,178,-,-
"","Cyprus","1000 bbl/d",20,17,18,20,20,21,22.4,24.3,24.3,30.1,32.3,32.6,37.6,37.5,43.2,42.6,41.9,42.7,45.9,48.8,46.7,51.5,50.3,51.4,54.9,56,58.8,58.6,60.7,58.3,56.1,56,51.5,45.9,44.0259726027,45,-,-
"","Czech Republic","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,--,154.21369863,158.961643836,168.569863014,173.341530055,168.926027397,174.879452055,174.342465753,169.800546448,178.939726027,175.98630137,187.635616438,205.885245902,212.934246575,211.512328767,211.246575342,215.614754098,205.950684932,202.131506849,197.923287671,195.325136612,188.443835616,202.249315068,196.117808219,179.956284153,213.778082192
"","Denmark","1000 bbl/d",290.3,243,230,219,215.592896175,222.679452055,219.534246575,213.882191781,203.918032787,195.591780822,192.438356164,194.252054795,192.478142076,198.967123288,211.268493151,222.717808219,234.926229508,226.610958904,222.824657534,220.246575342,209.986338798,213.367123288,197.145205479,188.260273973,185.31420765,183.454794521,190.424657534,190.605479452,181.043715847,166.520547945,167.460273973,163.950684932,155.480874317,154.747945205,153.616438356,154.465753425,158.193989071,158.531506849
"","Djibouti","1000 bbl/d",10,8,8,6,5,5,4.5,4.6,4.5,10.4,10.7,10.7,10.8,10.9,11.2,11.1,11.1,11.2,11.2,11.2,11.2,11.3,11.3,11.6,11.9,11.7,11.4,11.2,8,8.1,8.1,8.1,8.1,6,6.10618630137,6,-,-
"","Dominica","1000 bbl/d",0.2,0.3,0.3,0.3,0.3,0.3,0.24628,0.34628,0.371,0.37119,0.37119,0.37119,0.371,0.37119,0.49237,0.61324,0.61324,0.61355,0.61355,0.613561643836,0.602704918033,0.70298630137,0.80298630137,0.90298630137,0.784508196721,0.700054794521,0.784739726027,0.88473972603,0.88473972603,0.884739726027,0.884739726027,0.884739726027,0.884739726027,0.94295890411,0.978164383562,1,-,-
"","Dominican Republic","1000 bbl/d",38,37,39,47,41,42,47,52.1,58.8,58.9,64.5,61.6,65.1,59.2,68.1,71.6,77.7,84.4,86.6,99.7,125,116.5,126.3,124.5,114.4,114.7,117.5,119.1,123.3,112.7,113,114.3,115.2,114.2,111.740195068,113,-,-
